Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-SEP-2019,505750,515.75,491.20,0.0488,0.0257,0.0276,0.5273
26-SEP-2019,505797,9.08,9.08,0.0000,0.0078,0.0076,0.1452
26-SEP-2019,505827,224.00,206.60,0.0809,0.0405,0.0440,0.8406
26-SEP-2019,505840,9.60,9.20,0.0426,0.0467,0.0465,0.8884
26-SEP-2019,505850,43.80,43.65,0.0034,0.0223,0.0216,0.4127
26-SEP-2019,505872,721.50,706.85,0.0205,0.0325,0.0319,0.6094
26-SEP-2019,505893,63.90,60.90,0.0481,0.0221,0.0245,0.4681
26-SEP-2019,505978,945.00,950.00,-0.0053,0.0318,0.0309,0.5903
26-SEP-2019,506027,0.51,0.53,-0.0385,0.0291,0.0297,0.5674
26-SEP-2019,506105,83.55,86.00,-0.0289,0.0378,0.0373,0.7126
26-SEP-2019,506122,27.30,28.65,-0.0483,0.0409,0.0414,0.7909
26-SEP-2019,506128,23.65,22.20,0.0633,0.0698,0.0694,1.3259
26-SEP-2019,506134,3.20,3.20,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506142,22.50,22.50,0.0000,0.0190,0.0184,0.3515
26-SEP-2019,506161,3.19,3.19,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506166,17.70,17.70,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506178,10.00,10.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506180,129.60,129.60,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506186,18.35,18.35,0.0000,0.0325,0.0315,0.6018
26-SEP-2019,506190,50.00,50.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506196,4.00,4.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506248,35.40,35.20,0.0057,0.0328,0.0318,0.6075
26-SEP-2019,506260,156.90,157.05,-0.0010,0.0435,0.0422,0.8062
26-SEP-2019,506261,35.20,36.00,-0.0225,0.0345,0.0339,0.6477
26-SEP-2019,506365,5.83,5.56,0.0474,0.0185,0.0214,0.4088
26-SEP-2019,506405,123.45,126.50,-0.0244,0.0269,0.0268,0.5120
26-SEP-2019,506414,940.00,912.05,0.0302,0.0349,0.0346,0.6610
26-SEP-2019,506520,5.57,5.57,0.0000,0.0419,0.0406,0.7757
26-SEP-2019,506522,1405.00,1385.00,0.0143,0.0258,0.0253,0.4834
26-SEP-2019,506528,680.00,662.20,0.0265,0.0344,0.0340,0.6496
26-SEP-2019,506530,585.00,585.00,0.0000,0.0022,0.0021,0.0401
26-SEP-2019,506532,103.15,104.00,-0.0082,0.0412,0.0400,0.7642
26-SEP-2019,506543,2.12,2.16,-0.0187,0.0258,0.0254,0.4853
26-SEP-2019,506597,119.80,120.05,-0.0021,0.0301,0.0292,0.5579
26-SEP-2019,506605,281.10,295.00,-0.0483,0.0324,0.0336,0.6419
26-SEP-2019,506640,150.00,150.00,0.0000,0.0231,0.0224,0.4280
26-SEP-2019,506642,111.15,106.10,0.0465,0.0343,0.0352,0.6725
26-SEP-2019,506685,206.05,193.50,0.0628,0.0194,0.0243,0.4643
26-SEP-2019,506687,1282.55,1269.95,0.0099,0.0211,0.0206,0.3936
26-SEP-2019,506734,55.40,54.10,0.0237,0.0550,0.0536,1.0240
26-SEP-2019,506808,3.30,3.30,0.0000,0.0301,0.0292,0.5579
26-SEP-2019,506852,51.80,52.20,-0.0077,0.0349,0.0339,0.6477
26-SEP-2019,506854,167.60,168.30,-0.0042,0.0473,0.0459,0.8769
26-SEP-2019,506858,9.10,9.55,-0.0483,0.0240,0.0261,0.4986
26-SEP-2019,506863,0.42,0.44,-0.0465,0.0345,0.0353,0.6744
26-SEP-2019,506867,28.20,28.20,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,506879,43.40,43.60,-0.0046,0.0348,0.0338,0.6457
26-SEP-2019,506906,5.34,5.62,-0.0511,0.0354,0.0365,0.6973
26-SEP-2019,506910,47.55,45.65,0.0408,0.0385,0.0386,0.7375
26-SEP-2019,506919,40.15,37.90,0.0577,0.0500,0.0505,0.9648
26-SEP-2019,506935,10.76,10.76,0.0000,0.0112,0.0109,0.2082
26-SEP-2019,506981,77.50,77.55,-0.0006,0.0513,0.0497,0.9495
26-SEP-2019,507155,33.00,33.00,0.0000,0.0328,0.0318,0.6075
26-SEP-2019,507265,88.85,88.85,0.0000,0.0120,0.0116,0.2216
26-SEP-2019,507300,1900.00,2000.00,-0.0513,0.0366,0.0376,0.7183
26-SEP-2019,507435,71.00,71.00,0.0000,0.0366,0.0355,0.6782
26-SEP-2019,507474,61.85,62.45,-0.0097,0.0337,0.0328,0.6266
26-SEP-2019,507486,11.78,11.78,0.0000,0.0205,0.0199,0.3802
26-SEP-2019,507498,6.11,6.31,-0.0322,0.0367,0.0364,0.6954
26-SEP-2019,507508,5.96,5.96,0.0000,0.0273,0.0265,0.5063
26-SEP-2019,507515,7.83,7.83,0.0000,0.0300,0.0291,0.5560
26-SEP-2019,507525,610.00,609.75,0.0004,0.0290,0.0281,0.5368
26-SEP-2019,507526,196.55,197.85,-0.0066,0.0327,0.0317,0.6056
26-SEP-2019,507552,50.45,48.85,0.0322,0.0429,0.0423,0.8081
26-SEP-2019,507598,29.25,32.40,-0.1023,0.0501,0.0547,1.0450
26-SEP-2019,507609,40.85,40.85,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,507621,304.75,306.55,-0.0059,0.0242,0.0235,0.4490
26-SEP-2019,507645,7815.40,8080.00,-0.0333,0.0176,0.0189,0.3611
26-SEP-2019,507690,68.40,68.40,0.0000,0.0367,0.0356,0.6801
26-SEP-2019,507753,24.80,24.65,0.0061,0.0297,0.0288,0.5502
26-SEP-2019,507759,25.00,25.00,0.0000,0.0429,0.0416,0.7948
26-SEP-2019,507779,72.25,71.25,0.0139,0.0361,0.0352,0.6725
26-SEP-2019,507794,6.87,7.06,-0.0273,0.0468,0.0459,0.8769
26-SEP-2019,507808,6.52,6.52,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,507813,41.30,41.30,0.0000,0.0415,0.0402,0.7680
26-SEP-2019,507817,64.50,65.00,-0.0077,0.0308,0.0299,0.5712
26-SEP-2019,507833,0.84,0.84,0.0000,0.0129,0.0125,0.2388
26-SEP-2019,507836,403.70,403.15,0.0014,0.0259,0.0251,0.4795
26-SEP-2019,507864,39.90,35.30,0.1225,0.0387,0.0480,0.9170
26-SEP-2019,507872,13.73,13.73,0.0000,0.0398,0.0386,0.7375
26-SEP-2019,507886,26.60,26.60,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,507894,13.86,13.86,0.0000,0.0133,0.0129,0.2465
26-SEP-2019,507910,16.29,16.84,-0.0332,0.0297,0.0299,0.5712
26-SEP-2019,507912,80.70,82.25,-0.0190,0.0478,0.0466,0.8903
26-SEP-2019,507917,11.00,11.00,0.0000,0.0052,0.0050,0.0955
26-SEP-2019,507944,259.85,252.25,0.0297,0.0438,0.0431,0.8234
26-SEP-2019,507948,11.71,11.71,0.0000,0.0249,0.0241,0.4604
26-SEP-2019,507952,3.15,3.15,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,507960,103.00,103.00,0.0000,0.0167,0.0162,0.3095
26-SEP-2019,507962,7.59,7.59,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,507966,43.75,43.75,0.0000,0.0271,0.0263,0.5025
26-SEP-2019,507970,12.50,12.50,0.0000,0.0266,0.0258,0.4929
26-SEP-2019,507981,47.65,47.95,-0.0063,0.0593,0.0575,1.0985
26-SEP-2019,507987,4.06,4.06,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,507998,53.40,52.20,0.0227,0.0409,0.0400,0.7642
26-SEP-2019,508136,135.00,137.50,-0.0183,0.0311,0.0305,0.5827
26-SEP-2019,508306,29.90,28.50,0.0480,0.0076,0.0139,0.2656
26-SEP-2019,508486,3279.30,3333.45,-0.0164,0.0239,0.0235,0.4490
26-SEP-2019,508494,44.00,44.90,-0.0202,0.0401,0.0392,0.7489
26-SEP-2019,508664,6.84,6.97,-0.0188,0.0185,0.0185,0.3534
26-SEP-2019,508807,667.00,665.90,0.0017,0.0426,0.0413,0.7890
26-SEP-2019,508860,0.20,0.21,-0.0488,0.0266,0.0284,0.5426
26-SEP-2019,508867,9.10,9.10,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,508875,67.80,67.80,0.0000,0.0228,0.0221,0.4222
26-SEP-2019,508905,33.55,33.55,0.0000,0.0257,0.0249,0.4757
26-SEP-2019,508918,14.40,14.15,0.0175,0.0175,0.0175,0.3343
26-SEP-2019,508922,7.80,7.80,0.0000,0.0632,0.0613,1.1711
26-SEP-2019,508929,10.93,10.93,0.0000,0.0120,0.0116,0.2216
26-SEP-2019,508941,311.15,311.30,-0.0005,0.0238,0.0231,0.4413
26-SEP-2019,508954,47.60,47.65,-0.0010,0.0283,0.0274,0.5235
26-SEP-2019,508956,0.72,0.75,-0.0408,0.0281,0.0290,0.5540
26-SEP-2019,508961,36.10,36.10,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,508963,8.17,8.17,0.0000,0.0155,0.0150,0.2866
26-SEP-2019,508969,1.32,1.32,0.0000,0.0201,0.0195,0.3725
26-SEP-2019,508980,3.72,3.72,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,508993,2.45,2.45,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,508996,0.67,0.67,0.0000,0.0160,0.0155,0.2961
26-SEP-2019,509003,0.12,0.12,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,509015,8.60,8.60,0.0000,0.0042,0.0041,0.0783
26-SEP-2019,509026,68.75,68.75,0.0000,0.0088,0.0085,0.1624
26-SEP-2019,509038,19.55,19.55,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,509040,7.68,7.68,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,509048,8.05,8.87,-0.0970,0.0713,0.0731,1.3966
26-SEP-2019,509051,0.19,0.19,0.0000,0.0391,0.0379,0.7241
26-SEP-2019,509053,9.29,9.31,-0.0022,0.0349,0.0338,0.6457
26-SEP-2019,509073,4.50,4.68,-0.0392,0.0174,0.0194,0.3706
26-SEP-2019,509084,54.15,54.15,0.0000,0.0118,0.0114,0.2178
26-SEP-2019,509148,1.30,1.26,0.0313,0.0383,0.0379,0.7241
26-SEP-2019,509162,70.80,71.00,-0.0028,0.0301,0.0292,0.5579
26-SEP-2019,509196,70.30,74.00,-0.0513,0.0312,0.0328,0.6266
26-SEP-2019,509423,15.41,15.41,0.0000,0.0285,0.0276,0.5273
