Stocks allowed for MIS,Margin allowed
SOUTHBANK:EQ,3X
SPARC:EQ,3X
SRF:EQ,5X
SRTRANSFIN:EQ,11X
STAR:EQ,10X
STCINDIA:EQ,3X
STRTECH:EQ,3X
SUNDARMFIN:EQ,3X
SUNDRMFAST:EQ,3X
SUNPHARMA:EQ,5X
SUNTECK:EQ,3X
SUNTV:EQ,11X
SUPREMEIND:EQ,3X
SUVEN:EQ,3X
SYNDIBANK:EQ,3X
SYNGENE:EQ,3X
TAKE:EQ,3X
TATACHEM:EQ,12.5X
TATACOFFEE:EQ,3X
TATACOMM:EQ,3X
TATAELXSI:EQ,12.5X
TATAGLOBAL:EQ,12.5X
TATAINVEST:EQ,3X
TATAMOTORS:EQ,9X
TATAMTRDVR:EQ,9X
TATAPOWER:EQ,12.5X
TATASPONGE:EQ,3X
TATASTEEL:EQ,12.5X
TCI:EQ,3X
TCS:EQ,12.5X
TECHM:EQ,12.5X
TEXRAIL:EQ,3X
THERMAX:EQ,3X
THOMASCOOK:EQ,3X
THYROCARE:EQ,3X
TIFIN:EQ,3X
TIMETECHNO:EQ,3X
TINPLATE:EQ,3X
TITAN:EQ,12.5X
TNPETRO:EQ,3X
TNPL:EQ,3X
TORNTPHARM:EQ,12.5X
TORNTPOWER:EQ,12.5X
TRENT:EQ,3X
TRIDENT:EQ,3X
TRIVENI:EQ,3X
TTKPRESTIG:EQ,3X
TV18BRDCST:EQ,3X
TVSMOTOR:EQ,12.5X
TWL:EQ,3X
UBL:EQ,12.5X
UCOBANK:EQ,3X
UJJIVAN:EQ,9X
ULTRACEMCO:EQ,12.5X
UNIONBANK:EQ,11X
UNIVCABLES:EQ,3X
UPL:EQ,12.5X
USHAMART:EQ,3X
VEDL:EQ,5X
VGUARD:EQ,3X
VIPIND:EQ,3X
VOLTAS:EQ,12.5X
VTL:EQ,3X
WABCOINDIA:EQ,3X
WELCORP:EQ,3X
WELENT:EQ,3X
WELSPUNIND:EQ,3X
WHIRLPOOL:EQ,3X
WIPRO:EQ,12.5X
WONDERLA:EQ,3X
YESBANK:EQ,5X
ZEEL:EQ,5X
